customer_unique_id,total_orders,total_spent,avg_order_value,customer_type
0a0a92112bd4c708ca5fde585afaa872,1,13664.08,13664.08,One-Time Customer
da122df9eeddfedc1dc1f5349a1a690c,2,7571.63,3785.815,Repeat Customer
763c8b1c9c68a0229c42c9fc6f662b93,1,7274.88,7274.88,One-Time Customer
dc4802a71eae9be1dd28f5d788ceb526,1,6929.31,6929.31,One-Time Customer
459bef486812aa25204be022145caa62,1,6922.21,6922.21,One-Time Customer
ff4159b92c40ebe40454e3e6a7c35ed6,1,6726.66,6726.66,One-Time Customer
4007669dec559734d6f53e029e360987,1,6081.54,6081.54,One-Time Customer
eebb5dda148d3893cdaf5b5ca3040ccb,1,4764.34,4764.34,One-Time Customer
48e1ac109decbb87765a3eade6854098,1,4681.78,4681.78,One-Time Customer
c8460e4251689ba205045f3ea17884a1,4,4655.91,1163.9775,Repeat Customer
edde2314c6c30e864a128ac95d6b2112,1,4513.32,4513.32,One-Time Customer
a229eba70ec1c2abef51f04987deb7a5,1,4445.5,4445.5,One-Time Customer
edf81e1f3070b9dac83ec83dacdbb9bc,1,4194.76,4194.76,One-Time Customer
fa562ef24d41361e476e748681810e1e,1,4175.26,4175.26,One-Time Customer
ca27f3dac28fb1063faddd424c9d95fa,1,4163.51,4163.51,One-Time Customer
5e713be0853d8986528d7869a0811d2b,1,4042.74,4042.74,One-Time Customer
58483a1c055dfb600f57c5b867174542,1,4034.44,4034.44,One-Time Customer
011875f0176909c5cf0b14a9138bb691,1,4016.91,4016.91,One-Time Customer
f0767ae738c3d90e7b737d7b8b8bb4d1,1,3979.55,3979.55,One-Time Customer
bc5e25094a7d51b6aee35236572e64f4,1,3826.8,3826.8,One-Time Customer
